IssueType,ParentId,TaskId,TaskName,TaskContent,Status,DateCreatedText,DueDateText,StartDateText,Assignees,Priority,ListName,ProjectName,SpaceName,TimeEstimated,tags1,tags2,tags3,tags4,tags5,attachment1,attachment2,attachment3,comment1
story,,behcz,Add Flutter on-boarding guide to docs,"Creator checklist\\ I've added at least one use case\\ I've added a short description of what the feature should be\\ Use case(s)\\ As a developer with a Flutter project I want to add and configure Flutter projects easily so that I can have faster and more stable builds with the necessary tooling in place.\\ Description\\ We're adding official Flutter support to Bitrise and there needs to be proper documentation around it to help users onboard. This should be along the same lines of the rest of the platform on-boarding guides.\\ ",Closed,19/Nov/18 11:31 AM,,,,1,Technical Writing,Technical Writing,Completed Archive,36000,enhancement,epic:_flutter_support,,,,,,,"25/Jan/19 2:38 PM;anna.banyik@bitrise.io;@Zoltán Bába One extra step has been added to the guide (""If you have an iOS project in your Flutter project, you will have to select an .ipa export method."") and the article is approved by Tomi. I released it to Devcenter.
"
story,,bcmdc,Jekyll localization for Japanese users - create test site,"\\ ",Closed,14/Nov/18 2:27 PM,,,,2,Technical Writing,Technical Writing,Completed Archive,54000,enhancement,helps_support,,,,,,,"22/Nov/18 12:48 PM;zoltan.baba@bitrise.io;Test site created but incomplete. Needs more research as so far neither potential solution works with our implementation. 
"
task,,3nnn6,Links in the Notes boxes are hard to read (white),For example: Add a new Step to the workflow in Getting Started\\ \\ https://devcenter.bitrise.io/getting-started/add-your-first-step-to-your-workflow/,Closed,03/May/18 11:24 AM,,,,2,Technical Writing,Technical Writing,Completed Archive,,,,,,,,,
story,,ttxyc,API: Android keystore file upload,"Use case(s)\\ I want to upload my keystore file to the Bitrise using BItrise API.\\ How it should work for the user\\ Explain how the functionality works, what metadata they need to provide, link in swagger endpoint.\\ Additional resources/research (optional)\\ The rest of the keystore endpoints are not yet available (update, list, get data of one keystore file) and Website is working on it, Separate card is created.\\ ",Closed,23/Apr/19 8:59 AM,,,,2,Technical Writing,Technical Writing,Completed Archive,14400,api,enhancement,platform:_android,,,,,,"25/Apr/19 8:31 AM;anna.banyik@bitrise.io;The first endpoint of the Android keystore file management is documented in Nuclino until Website is finished with creating the uploaded, update, list, etc. endpoints. 
"
bug,,a3k26,Rename old step title to new one: Install missing Android tools > Install missing Android SDK components,"Step name got rebranded but documentation has not been updated since then.\\ ",Closed,30/Oct/18 3:53 PM,,,,2,Technical Writing,Technical Writing,Completed Archive,900,issue,,,,,,,
task,,j14ep,API planning,"Planning the new API documentation structure\\ What should we do?\\ We should change how the API documentation is handled. Information should be structured based on the different functionalities the API can accomplish - we should include general how-to-do info on all these functionalities. \\ Why should we do it?\\ Because currently there is only a barebones endpoint reference documentation and on DevCenter, we have some outdated information.\\ More details\\ ",Closed,12/Feb/19 6:34 PM,,,,1,Technical Writing,Technical Writing,Completed Archive,14400,maintenance,,,,,,,
bug,,5hd9w,Update the submodule guide for Public Apps,"From a user:\\ \\ \\ We recently added a public submodule to our android project and builds have started failing. I read this document https://devcenter.bitrise.io/faq/adding-projects-with-submodules and successfully created a new private test job with ssh keys, which I then added to our github CI user and all seemed to work fine.\\ However, when I tried to replicate the same thing with a public job under the DuckDuckGo organization, I ran into problems. I have tried:\\ 1. creating a new public job under the DuckDuckGo organization with ssh key. Every time I try, it gets created as a private job for me (not the organization).\\ 2. editing the original public job https://app.bitrise.io/app/dc22e377b9a9ccbf#/builds to use an ssh key but the option is not available anywhere that I can see.\\ \\ Public Apps can't have SSH keys for security reasons. \\ \\ The way to use submodules in case of Public Apps is to NOT to use SSH git clone URLs in the submodule definition, which is the recommended solution for private apps, but instead to use HTTPS git clone urls in the submodule definition.\\ \\ Note: SSH git clone URLs require an SSH key even if the repository is public. HTTPS git clone URLs work without any authentication in case of a public repository.\\ ",Closed,28/Jul/18 10:22 AM,,,,1,Technical Writing,Technical Writing,Completed Archive,7200,epic:_public_app_/_public_build_page,issue,,,,,,,"02/Aug/18 2:00 PM;viktor.benei@bitrise.io;My answer to her was:

```
Hi Mia,

Sure, I'm happy to help!

> We recently added a public submodule to our android project and builds have started failing. I read this document https://devcenter.bitrise.io/faq/adding-projects-with-submodules and successfully created a new private test job with ssh keys, which I then added to our github CI user and all seemed to work fine. However, when I tried to replicate the same thing with a public job under the DuckDuckGo organization, I ran into problems.

Indeed there's a significant difference between private and public apps: Public Apps can't have SSH keys for security reasons, to not to expose the key.

I scheduled an update for the devcenter article you linked, but in short you should do the opposite of what's described in the guide: replace all git URLs in your submodule definition from GIT url to HTTPS. Reason: git clone with an SSH git clone url, even if the target repository is a public one, requires an SSH key. HTTPS git clone urls on the other hand do not require any authentication if the target is a public repository.

Based on this build: https://app.bitrise.io/build/79056b9b1a8dd54c

I'd suggest you to replace git@github.com:duckduckgo/bloom_cpp.git in your main repository's (https://github.com/duckduckgo/Android.git) submodule definition with its HTTPS equivalent: https://github.com/duckduckgo/bloom_cpp.git

If you have any other submodule with a `git@` / SSH git clone URL in the submodule definition please replace those with the HTTPS ones too.

That's all, as https git clone urls don't require authentication in case of public repositories you don't have to do anything else, no ssh key nor any other authentication is required :)

...

Let me know how it goes or if you'd have any questions!
Best,
Viktor
```

"
sub-task,j22m6,,Review with Bazsi,null,Closed,13/Feb/19 10:35 AM,,,,null,Technical Writing,Technical Writing,Completed Archive,,,,,,,,,
sub-task,3nnqm,,change Webhook Setup and Usage Guide link to the new DevCenter content/ task for Website team once content is done.,null,Open,23/May/18 2:41 PM,,,,null,Technical Writing,Technical Writing,Completed Archive,,,,,,,,,
story,,h4znj,Update screenshots Builds (2nd half),"Use case(s)\\ First half of Builds' articles have been updated, now I need to update the rest of the articles with new screenshots representing our new UI design.\\ How it should work for the user\\ Screenshots reflect new UI design.\\ Additional resources/research (optional)\\ ",Closed,04/Feb/19 4:09 PM,,,,3,Technical Writing,Technical Writing,Completed Archive,18000,devcenter,enhancement,,,,,,
story,,kxmg5,Guide: what are teams and what are Orgs,"Use case(s)\\ There is a significant amount of confusion around what is a team and what is an Organization, as well as how individual users can interact with Organizations. This should be prevented by documentation - at least Support can point them to a single link in the case of confusion. \\ How it should work for the user\\ User should understand that:\\ a team is a collection of users invited to work on one specific app\\ on a Developer plan, you can only invite people on an application basis\\ an Organization is a separate entity, comprised of users invited to it \\ Orgs have their own subscriptions that is not the same as the owner's plan\\ Additional resources/research (optional)\\ ",Closed,28/Feb/19 4:42 PM,,,,1,Technical Writing,Technical Writing,Completed Archive,14400,enhancement,helps_support,,,,,,
story,,bhtpm,Android VDT article enhancement on instru and robo tests,"User is asking for more config details on instru and robo tests and Bazsi has some more detailed info on how we could extend our existing guide.\\ https://app.intercom.io/a/apps/e2rdidtm/inbox/inbox/conversation/19522625885\\ \\ Note needs to be added to our current Device Testing for Android on what to do if user has several variants of the apk and how they can pick one to be tested with our VDT Step. Planning to add this note to the intro section of our guide.\\ ",Closed,22/Nov/18 1:52 PM,,,,2,Technical Writing,Technical Writing,Completed Archive,10800,enhancement,helps_support,platform:_android,,,,,,"20/Feb/19 3:03 PM;anna.banyik@bitrise.io;We've realized with Bazsi that after having come up with a clever solution on how to pick your right Android variant to run Android UI testing on a test APK, there is a new step which came into life much later than this card was created. ezbdc card however with the new step offers a simpler and more streamlined solution than ours and it's already in our Devcenter. Closing this card now since user can now use that step.
","11/Feb/19 10:04 AM;anna.banyik@bitrise.io;Checking this card with Bazsi in our meeting today
"
story,,naht1,Swap Security to Single Sign On in SAML Guide,"Use case(s)\\ UI has changed from Security button to Single Sign On for SAML SSO.\\ How it should work for the user\\ Replace Security to Single Sign On.\\ Additional resources/research (optional)\\ ",Closed,13/Mar/19 12:23 PM,,,,1,Technical Writing,Technical Writing,Completed Archive,1800,enhancement,epic:_saml_sso,,,,,,
story,,hxyx2,Notifications: an overview and guide,"Use case(s)\\ Users often ask support about how to enable/disable certain notifications, and on what level.\\ How it should work for the user\\ We should have a comprehensive overview and guide about setting notifications on Bitrise. This should explain ""default"" notifications, as well as notifications through Steps. \\ Additional resources/research (optional)\\ ",Closed,11/Feb/19 5:04 PM,,,,2,Technical Writing,Technical Writing,Completed Archive,14400,enhancement,,,,,,,
story,,rdvm7,Create a guide on Azure AD SAML SSO,"Use case(s)\\ I want to add Bitrise as SAML SSO app on Azure AD.\\ Description\\ User journey\\ This will be based on the findings of the research card we've created for this topic.\\ Key Results that need to be tracked\\ Additional resources / research (optional)\\ ",Closed,09/Apr/19 1:23 PM,,,,1,Technical Writing,Technical Writing,Completed Archive,36000,enhancement,epic:_saml_sso,,,,,,
task,,dhqrf,Creating a tech writing process description in Nuclino,"\\ What should we do?\\ Create a tech writing space on Nuclino and add a writing process description to it. \\ Why should we do it?\\ Reference material for all team members if they have questions/issues\\ New hires can and should read it to be aware of our processes, especially how reviews work \\ More details\\ Once the basic process description is done, more items can be added. Those items will belong to separate cards. \\ ",Closed,18/Dec/18 4:52 PM,,,,2,Technical Writing,Technical Writing,Completed Archive,14400,maintenance,,,,,,,
task,,57zuq,Grammar check of step descriptions on Intergrations Phase 1,"In Phase 1: Some step descriptions need grammar check, will suggest the modified descriptions to Tooling who maintain the site. A step template would come in handy on the long term.\\ \\ Zoli & Anna are both working on it.\\ ",Closed,19/Jul/18 4:03 PM,,,,null,Technical Writing,Technical Writing,Completed Archive,7200,maintenance,,,,,,,
story,,hm0f9,Extend robo testing with Directives usage,"User needs some guidance on how to use the Robo Directives of our Android VDT Step.\\ Use case(s)\\ Our current guide does not contain any instructions on Robo Directives (https://devcenter.bitrise.io/testing/device-testing-for-android/#running-robo-tests)\\ Description\\ Enhance this section with general info on robo testing and the mentioned Step input field.\\ How it should work for the user\\ \\ Key Results that need to be tracked\\ \\ Additional resources / research (optional)\\ ",Closed,08/Feb/19 12:23 PM,,,,2,Technical Writing,Technical Writing,Completed Archive,14400,enhancement,helps_support,platform:_android,,,18/Jul/19 4:37 PM;Admin;https://attachments.clickup.com/c7c1aa9d-01a0-4609-9f02-bb9aea9db883/robo-directives.png,,,"11/Feb/19 10:35 AM;anna.banyik@bitrise.io;Meeting with Bazsi and requesting content input from him
"
story,,r9dkg,Clear up Running your first build,"Use case(s)\\ This article's processes should be visually separate from descriptive information. The mentioned further reading topics at the end of the article do not link to an actual article. Make it more clear which article's we're advising here.\\ How it should work for the user\\ I'm able to see what additional information and what procedural information is. At the end of the article there are suggested articles with proper links.\\ ",Closed,08/Apr/19 11:53 AM,,,,3,Technical Writing,Technical Writing,Completed Archive,14400,devcenter,enhancement,,,,,,
sub-task,r5ymx,,Review by Peer,null,Closed,08/Apr/19 11:19 AM,,,,null,Technical Writing,Technical Writing,Completed Archive,900,,,,,,,,
