Task ID,Task Name,Task Content,Status,Date Created,Date Created Text,Due Date,Due Date Text,Start Date,Start Date Text,Parent ID,Attachments,Assignees,Tags,Priority,List Name,Project Name,Space Name,Time Estimated,Time Estimated Text,Checklists,Comments
wbwk8,add the notify user subtask to the action card,https://app.intercom.io/a/apps/e2rdidtm/inbox/inbox/search/conversations/21669521017?q=2.3.6\n,Closed,1557479660843,"5/10/2019, 11:14:20 AM GMT+2",,,,,wbwk7,[],[],[],null,Tooling,Engineering,Iterations,,,{},[]
wbwk7,"Investigate: Xcode-archive step 2.3.6 succeeds, newer versions fail","Actual Behaviour\nxcode-archive step does not filter out Wildcard certificate which does not contain capabilites needed.\n❌  error: exportArchive: Provisioning profile ""iOSDistribution: Wildcard"" doesn't support the App Groups capability.\nWith Xcode archive 2.3.6 builds succeed with wildcard profiles like enterprise profiles (they don't contain any capabilities)\n\nExpected Behaviour\nthe step should recognise that this is a wildcard profile and force sign the application\nSteps to Reproduce\nbuild an enterprise app and see it burn\n\nExaples\nsame app same config, only the step version differs\nhttps://app.bitrise.io/build/ff01ef845e1625c0 <- works with 2.3.6\nhttps://app.bitrise.io/build/74409e1bab7b1e00 <- fails with 2.5\n",Closed,1557479660816,"5/10/2019, 11:14:20 AM GMT+2",,,,,null,"[{""title"":""XcodeArchiveOK.log"",""url"":""https://attachments.clickup.com/99f44961-1eaa-4225-9cbf-e949b6ef40ba/XcodeArchiveOK.log""},{""title"":""XcodeArchiveFail.log"",""url"":""https://attachments.clickup.com/b4113516-d1f6-4059-bddf-424cd8f733eb/XcodeArchiveFail.log""}]",[Krisztian Godrei],"[investigation,issue,platform: ios]",1,Tooling,Engineering,Iterations,14400000,4 h ,{},"[{""text"":""Action card created: zy1ba \n"",""by"":""krisztian.godrei@bitrise.io"",""assigned"":false,""date"":""6/6/2019, 10:13:35 AM GMT+2"",""resolved"":""N/A""},{""text"":""I think the problem is not with the 2.5.0 version only.\nThe success build had only the right profiles. It is possible, if it would've had the wrong profiles too, it would've failed as well.\n"",""by"":""akos.birmacher@bitrise.io"",""assigned"":false,""date"":""5/27/2019, 10:47:51 AM GMT+2"",""resolved"":""N/A""}]"
hy8av,Flutter analyse issue,"What should we do?\nAnalysis fails on information severity issues, it really should not.\nIt is an ongoing issue for the Flutter analyse tool: https://github.com/flutter/flutter/issues/20855\nWe could analyse the analyser log and determine the exist status based on the log, if only Info severity issues are present, do not fail.\nWhy should we do it?\ninformation severity issues should not make the step failing\nMore details\nthe following build contains the analyse error, and the user had difficulties setting up the android steps as well because the platform issue.\n https://app.bitrise.io/build/5754aca7cc88cbd0\n\n",🚀 in progress,1549959771327,"2/12/2019, 9:22:51 AM GMT+1",,,,,null,[],[Laszlo Szucs],"[issue,platform: flutter]",1,Tooling,Engineering,Iterations,10800000,3 h ,{},"[{""text"":""Please split this into two issues. \n"",""by"":""kata.keri@bitrise.io"",""assigned"":""krisztian.godrei@bitrise.io"",""date"":""2/12/2019, 9:22:51 AM GMT+1"",""resolved"":true},{""text"":""Please discuss with @Sandor Feher \n"",""by"":""kata.keri@bitrise.io"",""assigned"":""krisztian.godrei@bitrise.io"",""date"":""2/12/2019, 9:22:51 AM GMT+1"",""resolved"":true},{""text"":""user: https://app.intercom.io/a/apps/e2rdidtm/inbox/inbox/conversation/20608366373\n"",""by"":""sandor.feher@bitrise.io"",""assigned"":false,""date"":""2/12/2019, 9:22:51 AM GMT+1"",""resolved"":""N/A""}]"
mb1d2,Merge,null,Closed,1551792599806,"3/5/2019, 2:29:59 PM GMT+1",,,,,mb1d0,[],[],[],null,Tooling,Engineering,Iterations,,,{},[]
hbe1e,"create a new card to migrate every option for every scanner and make it a dependency of the related website's card, ask the website team for the card",null,Closed,1549464867056,"2/6/2019, 3:54:27 PM GMT+1",,,,,gh4kx,[],[],[],null,Tooling,Engineering,Iterations,,,{},[]
thwh3,review,null,Open,1555589867286,"4/18/2019, 2:17:47 PM GMT+2",,,,,kt1bf,[],[],[],null,Tooling,Engineering,Iterations,14400000,4 h ,{},[]
yvmup,Gather technical info about test reporting format for tech writers,"Use case(s)\nSince we want the Testing add-on to be the main test reporting dashboard for whatever tests a user runs on Bitrise, we need proper documentation on how users can contribute with additional supported frameworks.\nDescription\nGather info about JUnit XML format the add-on expects, where they should deploy the test artifacts, etc.\nAdd an example XML from an existing step\nOnce it's done, send info to the Tech Writers.\nAdditional resources/research (optional)\nArchitecture doc: https://app.nuclino.com/Bitrise/Tooling/Test-reporting-AddOn-support-in-Steps-8f0eafe8-cc5e-4379-a282-4e977371ae1a\n",Closed,1559203494946,"5/30/2019, 10:04:54 AM GMT+2",,,,,null,[],[Krisztian Godrei],"[enhancement,epic: testing addon]",1,Tooling,Engineering,Iterations,7200000,2 h ,{},"[{""text"":""Doc extended and reviewed: https://app.nuclino.com/Bitrise/Tooling/Test-reporting-AddOn-support-in-Steps-8f0eafe8-cc5e-4379-a282-4e977371ae1a\n"",""by"":""krisztian.godrei@bitrise.io"",""assigned"":false,""date"":""6/6/2019, 11:55:41 AM GMT+2"",""resolved"":""N/A""},{""text"":""We already have a - maybe - outdated nuclino document about this feature's architecture, however in any way we should have a short, clean description of the client side usage of the new feature.\n"",""by"":""tamas.papik@bitrise.io"",""assigned"":false,""date"":""5/30/2019, 10:57:51 AM GMT+2"",""resolved"":""N/A""}]"
hy8aw,notify user,https://app.intercom.io/a/apps/e2rdidtm/inbox/inbox/2406230/conversations/22137466251\nhttps://app.intercom.io/a/apps/e2rdidtm/inbox/inbox/conversation/20608366373\n,Open,1549959771429,"2/12/2019, 9:22:51 AM GMT+1",,,,,hy8av,[],[],[],null,Tooling,Engineering,Iterations,,,{},[]
y7dtj,review,null,Closed,1558613722149,"5/23/2019, 2:15:22 PM GMT+2",,,,,y4rrm,[],[László Püsök],[],null,Tooling,Engineering,Iterations,3600000,1 h ,{},[]
k0ehy,review,null,Open,1550754993246,"2/21/2019, 2:16:33 PM GMT+1",,,,,j8pcw,[],[],[],null,Tooling,Engineering,Iterations,7200000,2 h ,{},[]
