Task ID,Task Name,Task Content,Status,Date Created,Date Created Text,Due Date,Due Date Text,Start Date,Start Date Text,Parent ID,Attachments,Assignees,Tags,Priority,List Name,Project Name,Space Name,Time Estimated,Time Estimated Text,Checklists,Comments
bdv4k,Review,null,Open,1542377756281,"11/16/2018, 3:15:56 PM GMT+1",,,,,bdv4h,[],[Gabor Takacs],[],null,Infrastructure,Engineering,Iterations,1800000,30 m,{},[]
rdp60,Implement Pub/Sub in DEN Cluster,"What we should do\nImplement the Pub/Sub messaging in the DEN cluster just like we did in the Server.\n\nWhy should we do this\nSo the Data-team and our team can gather more information on build-VM creation, utilisation and deletion at the ""exact"" moment these events occurs.\n\nAdditional information\nThe Pub/Sub Client wrapper (bitrise-io/den/messaging/pubsub.go) is ready to use. Just make a similar implementation in the cluster like the one in (bitrise-io/den/server/pubsub)\n\n",👀 blocked,1554802254082,"4/9/2019, 11:30:54 AM GMT+2",,,,,null,[],[Kristof Molnosi],"[den,enhancement,helps data]",2,Infrastructure,Engineering,Iterations,10800000,3 h ,{},"[{""text"":""Reverted, broke the app on heroku\n"",""by"":""kristof.molnosi@bitrise.io"",""assigned"":false,""date"":""6/6/2019, 2:13:32 PM GMT+2"",""resolved"":""N/A""},{""text"":""blocked by pub/sub integration tests\n"",""by"":""kristof.molnosi@bitrise.io"",""assigned"":false,""date"":""5/17/2019, 3:51:40 PM GMT+2"",""resolved"":""N/A""}]"
htw1u,Schedule a quick meeting with Tooling to let them know they can now use testman,null,Open,1549641202192,"2/8/2019, 4:53:22 PM GMT+1",,,,,begmg,[],[],[],null,Infrastructure,Engineering,Iterations,,,{},[]
z77h5,Weekly Facilitator,"What should we do?\nHelp the team's workdays with the listed tasks: https://app.nuclino.com/Bitrise/Infrastructure/Facilitator-of-the-Week-ffb0c876-fb5c-4ce9-9c34-39ce29b3a5f8\nWhy should we do it?\nThis way other team members do not need to care about administrative tasks, they can be more focused during the week.\n",Closed,1559555083801,"6/3/2019, 11:44:43 AM GMT+2",,,,,null,[],[Kristof Molnosi],[maintenance],1,Infrastructure,Engineering,Iterations,7200000,2 h ,{},[]
ty3mu,sign off: review the change flow with Peter & ViktorB,"From start to finish, how it will look like if someone from e.g. infra would like to add a new record. Who will approve it.\n",Open,1556021907688,"4/23/2019, 2:18:27 PM GMT+2",,,,,j94gw,[],[Viktor Benei],[],null,Infrastructure,Engineering,Iterations,,,{},[]
wgq99,"Order 14 new 6core MacPRO (Elite) + 4 new 12core MacPRO (Standard) + 4 new 12 core ""hot standby""","What should we do?\nWe should order new Macs for our infrastructure. See process description below to figure out the number of new machines we need. Follow the checklists below: ""Order process"" is the steps to follow when ordering the new Macs, ""Install process"" is the steps to follow after MacStadium successfully installed the new machines and according to them they are ready to use.\nWhy should we do it?\nBecause we're reached the agreed threshold of machines when we have to order new Macs.\nMore details\nProcess description: https://app.nuclino.com/Bitrise/Infrastructure/When-to-order-new-Macs-6854939e-63f8-4db1-b6ea-aa1da2ba3afd\n",👀 blocked,1557572549481,"5/11/2019, 1:02:29 PM GMT+2",,,,,null,[],[Kristof Molnosi],[maintenance],1,Infrastructure,Engineering,Iterations,5400000,1 h 30 m,"{""Order process"":[""Open support ticket for MacStadium http://portal.macstadium.com/"",""Email tli@macstadium.com  to make sure the request isn't delayed, CC viktor.benei@btirise.io & gabor.takacs@bitirise.io""],""Install Process"":[""Check for vCenter errors/warning for the new hosts"",""Reboot new hosts"",""Add hosts to their designated clusters"",""Exit maintenance mode"",""Adjust the host count in the capacity calculator:  https://github.com/bitrise-io/infra-capacity-calculator/blob/master/capacityreport/rules.go"",""Post to Infra Diary https://discuss.bitrise.io/t/infra-diary-vsphere-gce/396/155""]}","[{""text"":""Ordered 4 12 core hot standby\n"",""by"":""kristof.molnosi@bitrise.io"",""assigned"":false,""date"":""5/24/2019, 2:42:23 PM GMT+2"",""resolved"":""N/A""},{""text"":""12 cores added to standard\n"",""by"":""kristof.molnosi@bitrise.io"",""assigned"":false,""date"":""5/23/2019, 4:20:55 PM GMT+2"",""resolved"":""N/A""},{""text"":""75129 ticket\n"",""by"":""kristof.molnosi@bitrise.io"",""assigned"":false,""date"":""5/17/2019, 1:50:28 PM GMT+2"",""resolved"":""N/A""},{""text"":""wait for macstadium\n"",""by"":""kristof.molnosi@bitrise.io"",""assigned"":false,""date"":""5/14/2019, 12:55:56 PM GMT+2"",""resolved"":""N/A""}]"
r9z8x,Investigate distributed Cluster config/be able to update cluster config during business days.,"What should we do?\nHave distributed Cluster config, so that the config can be updated while the Cluster is running.\nWhy should we do it?\nWith this we could tune the available capacity during business days, as well as we could even develop a tool that would do this automatically, by processing usage stats and changing the config.\nMore details\nThe only thing we really care about changing in production is the limits/capacity configs. We'd like to increase/decrease the max and idle counts of clusters and pools without having to reboot or deploy a new cluster.\n\n",Open,1554737888653,"4/8/2019, 5:38:08 PM GMT+2",,,,,null,[],[Gabor Takacs],"[maintenance,research]",1,Infrastructure,Engineering,Iterations,18000000,5 h ,{},"[{""text"":""Bumping to urgent to help resolve build queues.\n"",""by"":""viktor.benei@bitrise.io"",""assigned"":false,""date"":""4/12/2019, 2:23:09 PM GMT+2"",""resolved"":""N/A""}]"
qy5eb,Migrate tags to postgres arrays III.,"What should we do?\nModify the code to stop filling up the string tags fields.\nDrop the string app fields from all the modified tables.\nWhy should we do it?\nSince we decided (at least I think we decided) we're only going to support posgresql as the DEN db we should migrate the string tags to postgres arrays which are more convenient for this purpose. Currently they're stored in a varchar(255) which has length and indexing limitations. Migrate to arrays of varchar(255) fields.\n\nMigration needs to be applied in multiple places where tags are stored (e. g. tasks, intro secrets). Modify the code accordingly (for example the task-agent matcher function).\nMore details\n",👀 blocked,1554380331350,"4/4/2019, 2:18:51 PM GMT+2",,,,,null,[],"[Miklós Lőrinczi,Otto Virag]","[den,maintenance]",1,Infrastructure,Engineering,Iterations,3600000,1 h ,{},"[{""text"":""Bumping prio because dependencies are ready.\n"",""by"":""kristof.molnosi@bitrise.io"",""assigned"":false,""date"":""5/16/2019, 10:53:30 AM GMT+2"",""resolved"":""N/A""}]"
10agnj,Weekly VM updates,\n,Open,1560241272276,"6/11/2019, 10:21:12 AM GMT+2",,,,,null,[],[],[maintenance],1,Infrastructure,Engineering,Iterations,18000000,5 h ,{},[]
bdv4j,Security Sign off.,null,Closed,1542377756272,"11/16/2018, 3:15:56 PM GMT+1",,,,,bdv4h,[],[],[],null,Infrastructure,Engineering,Iterations,,,{},[]
9wc91,If the performance increase is significant. Create a followup card to roll this out (include blogpost tag). Include your findings,If the performance increase is significant. Create a followup card to roll this out (include blogpost tag). Include your findings\n,Open,1540374080522,"10/24/2018, 11:41:20 AM GMT+2",,,,,9wc8q,[],[],[],null,Infrastructure,Engineering,Iterations,,,{},[]
